"name","description","stars","forks","subscribers_now","open_issues","license","created_at","updated_at","default_branch","n_contributors","perc_first_10_contributors","perc_of_1contr_contributors","sum_contributions","avg_time_between_releases","n_releases_last60days","avg_time_between_releases_last60d","releases_1m_n","new_issues_1m_n","closed_issues_1m_n","authors_1m_n","main_commit_1m_n","sec_policy","funding_info","n_vunerabilities_1y","n_vunerabilities_2y","day_of_download","age_in_days","issues_dynamic","open_issues_vs_contributors","delta_vunerabilities","index_value","index","index_part1_value","index_part1","index_part2_value","index_part2"
"Nuclei","Nuclei is a fast, customizable vulnerability scanner powered by the global security community and built on a simple YAML-based DSL, enabling collaboration to tackle trending vulnerabilities on the internet. It helps you find vulnerabilities in your applications, APIs, networks, DNS, and cloud configurations.",24500,2867,248,408,"MIT License","2020-04-03","2025-08-24","dev",194,0.871880492091388,0.592783505154639,5690,14.6791044776119,5,13.5,3,33,26,9,28,1,0,1,3,"2025-08-24",1969,7,2.10309278350515,1,64.9965610639971,22,64.1603619506615,21,66,19
"Zeek","Zeek is a powerful network analysis framework that is much different from the typical IDS you may know.",7094,1281,354,192,"Other","2012-07-06","2025-08-24","master",155,0.921179968518626,0.451612903225806,17153,23.9462365591398,3,11,1,15,17,9,0,1,0,0,3,"2025-08-24",4797,-2,1.23870967741935,3,70.8966881789467,27,63.3105949947356,20,80,28
"OpenBao","OpenBao exists to provide a software solution to manage, store, and distribute sensitive data including secrets, certificates, and keys.",4364,244,36,192,"Mozilla Public License 2.0","2023-11-09","2025-08-24","main",377,0.570592024360251,0,17077,32.9333333333333,2,44,1,27,12,16,75,1,0,9,9,"2025-08-24",654,15,0.509283819628647,-9,53.8884989227555,10,60.4622480250518,17,46,5
"Cilium","eBPF-based Networking, Security, and Observability",22314,3379,307,1059,"Apache License 2.0","2015-12-16","2025-08-24","main",400,0.487465796965258,0,36181,8.72364672364672,9,5.625,4,134,134,34,519,1,0,8,21,"2025-08-24",3539,0,2.6475,5,70.7951436087751,26,74.7910966160876,24,66,18
"Mattermost","Mattermost is an open source platform for secure collaboration across the entire software development lifecycle..",33450,7937,539,963,"Other","2015-06-15","2025-08-24","master",394,0.494731268202277,0,18885,3.10874704491726,60,0.983050847457627,28,22,15,32,0,1,0,40,40,"2025-08-24",3723,7,2.44416243654822,-40,60.8611933472934,17,79.9121878033713,26,38,2
"Safeline","SafeLine is a self-hosted WAF(Web Application Firewall) / reverse proxy to protect your web apps from attacks and exploits.",17523,1077,85,30,"GNU General Public License v3.0","2023-04-12","2025-08-24","main",20,0.961298377028714,0.3,801,7.42982456140351,4,13.6666666666667,1,12,11,1,3,1,0,0,2,"2025-08-24",865,1,1.5,2,61.0011835854532,19,48.5021699066643,10,76,24
"Keycloak","Open Source Identity and Access Management For Modern Applications and Services",29190,7548,391,2238,"Apache License 2.0","2013-07-02","2025-08-24","main",324,0.671158525173124,0,26715,7.54651162790698,4,16.3333333333333,1,266,278,31,207,1,0,34,40,"2025-08-24",4436,-12,6.90740740740741,-28,66.2362211997249,24,83.0997388661622,27,46,3
"Zaproxy","The ZAP by Checkmarx Core project",13999,2422,400,854,"Apache License 2.0","2015-06-03","2025-08-24","main",222,0.942584745762712,0.630630630630631,9440,29.25,9,6.125,5,11,10,8,16,1,0,-1,-1,"2025-08-24",3735,1,3.84684684684685,1,55.5681719029177,12,58.5416484886824,14,52,10
"Trivy","Find vulnerabilities, misconfigurations, secrets, SBOM in containers, Kubernetes, code repositories, clouds and more",28029,2682,178,206,"Apache License 2.0","2019-04-11","2025-08-24","main",445,0.714324917672887,0.70561797752809,3644,13.3941176470588,3,15,1,17,10,14,37,1,0,0,1,"2025-08-24",2327,7,0.462921348314607,1,65.5329866670041,23,60.1438088895075,16,72,23
"Teleport","The easiest, and most secure way to access and protect all of your infrastructure.",19048,1904,243,2914,"GNU Affero General Public License v3.0","2015-03-02","2025-08-24","master",293,0.401007466042997,0.416382252559727,22234,4.46363636363636,21,2.55,11,148,93,43,0,1,0,2,2,"2025-08-24",3828,55,9.94539249146758,-2,51.8082811615362,8,53.3151821294831,13,50,6
"Passbolt","Get started with Passbolt CE using docker!",966,213,25,7,"GNU Affero General Public License v3.0","2016-02-18","2025-08-20","master",40,0.943569553805774,0.45,762,60.3191489361702,0,NA,0,2,0,0,0,1,0,1,3,"2025-08-24",3475,2,0.175,1,52.7857313290384,9,31.7738407699038,2,78,26
"Hackingtool","ALL IN ONE Hacking Tool For Hackers",53357,5773,1270,67,"MIT License","2020-04-11","2025-08-24","master",36,0.919003115264797,0.722222222222222,321,1961,0,0,0,1,0,0,0,1,0,-1,-1,"2025-08-24",1961,1,1.86111111111111,1,60.9239255033647,18,65.0271967561687,22,56,14
"Wireshark","Read-only mirror of Wireshark's Git repository at https://gitlab.com/wireshark/wireshark. ⚠️ GitHub won't let us disable pull requests. ⚠️ THEY WILL BE IGNORED HERE ⚠️ Upload them at GitLab instead.",8375,2026,302,2,"GNU General Public License v2.0","2014-06-29","2025-08-24","master",355,0.699038265825361,0,78608,4074,0,0,0,0,0,16,0,1,1,8,27,"2025-08-24",4074,0,0.00563380281690141,11,71.3074443366526,28,62.396981283863,19,82,29
"Grafana","The open and composable observability and data visualization platform. Visualize metrics, logs, and traces from multiple sources like Prometheus, Loki, Elasticsearch, InfluxDB, Postgres and many more. ",69594,12888,1268,3760,"GNU Affero General Public License v3.0","2013-12-11","2025-08-24","main",369,0.41632242347209,0,56646,7.69398907103825,16,1.8,5,403,357,47,739,1,0,18,28,"2025-08-24",4274,46,10.189701897019,-8,58.3302038497463,15,83.6053737245348,28,28,1
